champ_name,top,jungle,mid,adc,support,build,runes
ezreal,,,"[['LeBlanc', 'Yasuo', 'Yone', 'Sylas', 'Zed', 'Katarina', 'Ahri', 'Hwei', 'Lissandra', 'Aurora', 'Lux', 'Veigar', 'Vladimir', 'Twisted Fate', 'Xerath', 'Viktor', 'Aurelion Sol', 'Galio', 'Fizz', 'Malzahar', 'Vex', 'Zoe', 'Irelia', 'Talon', 'Nasus', 'Diana', 'Azir', 'Ziggs', 'Kassadin', 'Garen', 'Qiyana', 'Tristana', 'Cassiopeia', 'Akshan', 'Varus', 'Naafiri', 'Brand', ""Vel'Koz""], ['Akali', 'Lucian'], ['Smolder', 'Syndra', 'Corki', 'Ryze', 'Taliyah']]",,,"['Tear of the Goddess', 'Trinity Force', 'Muramana', 'Spear of Shojin']",
fiddlesticks,,"[['Amumu', 'Jarvan IV', 'Shaco', 'Udyr', 'Master Yi', 'Briar', 'Volibear', 'Warwick', 'Xin Zhao', 'Rengar', 'Elise', 'Ivern', 'Skarner', 'Qiyana'], [""Kha'Zix"", 'Kayn', 'Nocturne', 'Zac', ""Bel'Veth"", 'Brand', 'Wukong', 'Taliyah', 'Gragas', 'Zed', 'Gwen', 'Talon', ""Rek'Sai"", 'Rammus', 'Poppy', 'Zyra', 'Morgana'], ['Lee Sin', 'Lillia', 'Graves', 'Hecarim', 'Nidalee', 'Vi', 'Kindred', 'Ekko', 'Shyvana', 'Sylas', 'Evelynn', 'Maokai']]",,,,"['Malignance', ""Liandry's Torment"", ""Zhonya's Hourglass""]",
fiora,"[['Camille', 'Darius', 'Sett', 'Malphite', 'Illaoi', 'Tryndamere', 'Warwick', 'Tahm Kench', 'Teemo', 'Trundle', 'Singed', 'Vayne', 'Udyr', 'Heimerdinger', 'Zed'], ['Yone', ""K'Sante"", 'Ornn', 'Jayce', 'Irelia', 'Yorick', 'Smolder', 'Dr. Mundo', 'Sion', 'Vladimir', ""Cho'Gath"", 'Gnar', 'Urgot', 'Pantheon', 'Olaf', 'Rumble', 'Yasuo', 'Ryze', 'Varus', 'Sylas'], ['Aatrox', 'Garen', 'Nasus', 'Renekton', 'Jax', 'Gwen', 'Shen', 'Kennen', 'Kayle', 'Poppy', 'Akali', 'Kled', 'Zac', 'Quinn']]",,,,,"['Ravenous Hydra', 'Trinity Force', 'Hullbreaker']",
fizz,,,"[['Sylas', 'Lissandra', 'Aurora', 'Vladimir', 'Galio', 'Veigar', 'Ryze', 'Azir', 'Garen', 'Pantheon', 'Taliyah', 'Annie', 'Jayce', 'Renekton', 'Malphite', 'Rumble', 'Neeko'], ['Katarina', 'Syndra', 'Smolder', 'Ahri', 'LeBlanc', 'Lux', 'Twisted Fate', 'Xerath', 'Diana', 'Aurelion Sol', 'Orianna', 'Talon', 'Zoe', 'Irelia', 'Anivia', 'Ziggs', 'Lucian', 'Akshan', 'Cassiopeia', 'Kennen', 'Tristana', 'Swain', 'Quinn', 'Kayle'], ['Zed', 'Yasuo', 'Yone', 'Hwei', 'Viktor', 'Malzahar', 'Nasus', 'Ekko', 'Corki', 'Naafiri', 'Varus', 'Zeri', 'Nunu & Willump']]",,,"['Lich Bane', ""Zhonya's Hourglass"", ""Rabadon's Deathcap""]",
galio,,,"[['Ahri', 'Zoe', 'Ekko', 'Ziggs', 'Neeko', 'Swain', 'Nunu & Willump', 'Malphite'], ['Katarina', 'LeBlanc', 'Sylas', 'Yasuo', 'Akali', 'Smolder', 'Zed', 'Fizz', 'Twisted Fate', 'Diana', 'Malzahar', 'Ryze', 'Azir', 'Nasus', 'Veigar', 'Irelia', 'Corki', 'Naafiri', 'Lucian', 'Kassadin', 'Cassiopeia', 'Akshan', 'Brand', 'Tristana', 'Annie', 'Jayce', 'Varus', 'Zeri'], ['Yone', 'Hwei', 'Lissandra', 'Syndra', 'Orianna', 'Vladimir', 'Xerath', 'Viktor', 'Garen', 'Pantheon', ""Vel'Koz"", 'Renekton']]",,,"['Hollow Radiance', 'Riftmaker', ""Zhonya's Hourglass""]",
gangplank,"[['Aatrox', 'Mordekaiser', 'Sett', 'Renekton', 'Riven', 'Ornn', 'Vladimir', 'Dr. Mundo', 'Tryndamere', 'Gwen', 'Pantheon', 'Aurora', 'Gragas', 'Olaf', 'Kennen', 'Kayle', 'Zac', 'Kled', 'Quinn', 'Warwick', 'Ryze', 'Zed', 'Udyr', 'Cassiopeia'], ['Jax', 'Jayce', 'Malphite', 'Smolder', 'Illaoi', 'Shen', 'Teemo', 'Vayne', 'Sylas', 'Heimerdinger'], ['Camille', 'Irelia', 'Fiora', 'Gnar', 'Yorick', 'Sion', 'Urgot', 'Wukong', 'Tahm Kench', 'Poppy', 'Singed', 'Akali', 'Trundle', 'Varus']]",,,,,"['Trinity Force', 'The Collector', 'Infinity Edge']",
garen,"[['Darius', 'Camille', 'Sett', 'Tryndamere', 'Tahm Kench', ""Cho'Gath"", 'Aurora', 'Kennen', 'Zac', 'Udyr'], ['Nasus', 'Renekton', 'Jax', 'Smolder', 'Gnar', 'Malphite', 'Dr. Mundo', 'Jayce', 'Shen', 'Wukong', 'Akali', 'Yasuo', 'Poppy', 'Singed', 'Sylas', 'Zed', 'Varus', 'Heimerdinger'], ['Aatrox', 'Riven', 'Volibear', 'Yone', 'Ornn', 'Fiora', ""K'Sante"", 'Gangplank', 'Urgot', 'Gragas', 'Irelia', 'Vladimir', 'Sion', 'Teemo', 'Olaf', 'Trundle', 'Rumble', 'Kled', 'Ryze']]",,,,,"['Stridebreaker', 'Phantom Dancer', 'Mortal Reminder']",
gnar,"[['Aatrox', 'Garen', 'Nasus', 'Sett', 'Malphite', 'Mordekaiser', 'Jax', 'Illaoi', 'Fiora', 'Riven', 'Yorick', 'Sion', 'Tryndamere', 'Yasuo', ""Cho'Gath"", 'Poppy', 'Olaf', 'Teemo', 'Zac', 'Warwick', 'Kayle', 'Singed'], [""K'Sante"", 'Smolder', 'Gwen', 'Dr. Mundo', 'Rumble', 'Akali', 'Vayne', 'Ryze', 'Cassiopeia'], ['Renekton', 'Darius', 'Camille', 'Yone', 'Ornn', 'Vladimir', 'Kennen', 'Wukong', 'Tahm Kench', 'Pantheon', 'Shen', 'Kled', 'Sylas', 'Quinn', 'Trundle', 'Heimerdinger']]",,,,,"['Trinity Force', 'Black Cleaver', ""Sterak's Gage""]",
gragas,"[['Aatrox', 'Jax', 'Riven', ""K'Sante"", 'Dr. Mundo', 'Illaoi', 'Sion', ""Cho'Gath"", 'Shen', 'Rumble', 'Tahm Kench', 'Yasuo', 'Zac', 'Singed', 'Vayne', 'Cassiopeia', 'Heimerdinger', 'Zed'], ['Renekton', 'Sett', 'Mordekaiser', 'Vladimir', 'Irelia', 'Gangplank', 'Wukong', 'Kennen', 'Aurora', 'Teemo', 'Kled', 'Akali', 'Poppy', 'Kayle', 'Sylas', 'Udyr', 'Varus'], ['Nasus', 'Camille', 'Yone', 'Jayce', 'Ornn', 'Fiora', 'Smolder', 'Gnar', 'Urgot', 'Olaf', 'Quinn', 'Warwick', 'Trundle', 'Ryze']]",,,,,"['Tear of the Goddess', 'Rod of Ages', ""Seraph's Embrace"", 'Cosmic Drive']",
gragas,,"[[""Kha'Zix"", 'Lillia', 'Amumu', 'Kayn', 'Vi', 'Hecarim', 'Master Yi', 'Nocturne', 'Wukong', 'Xin Zhao', 'Rengar', 'Nunu & Willump', 'Volibear', 'Fiddlesticks', ""Bel'Veth"", 'Evelynn', 'Taliyah', 'Elise', ""Rek'Sai"", 'Gwen', 'Poppy', 'Jax', 'Zyra'], ['Viego', 'Shaco', 'Shyvana', 'Sylas', 'Karthus', 'Talon', 'Skarner', 'Qiyana', 'Maokai'], ['Graves', 'Jarvan IV', 'Kindred', 'Ekko', 'Udyr', 'Sejuani', 'Briar', 'Warwick', 'Ivern']]",,,,"['Lich Bane', 'Shadowflame', ""Zhonya's Hourglass""]",
gragas,,,"[['Yone', 'Hwei', 'Akali', 'Aurora', 'Nasus', 'Xerath', 'Veigar', 'Vex', 'Aurelion Sol', 'Malzahar'], ['Zed', 'Yasuo', 'Katarina', 'Sylas', 'LeBlanc', 'Syndra', 'Lissandra', 'Lux', 'Vladimir', 'Irelia', 'Qiyana', 'Orianna', 'Viktor', 'Azir', 'Twisted Fate', 'Ryze', 'Garen', 'Diana', 'Ekko'], ['Ahri', 'Smolder', 'Talon', 'Fizz', 'Galio']]",,,"[""Luden's Companion"", 'Lich Bane', 'Shadowflame']",
graves,,"[[""Kha'Zix"", 'Nidalee', 'Kindred', 'Amumu', 'Ekko', 'Shyvana', 'Udyr', 'Xin Zhao', 'Zac', 'Nunu & Willump', 'Elise', 'Warwick', 'Taliyah', 'Skarner', 'Ivern'], ['Sejuani', 'Karthus', 'Sylas', ""Rek'Sai"", 'Zed', 'Maokai', 'Qiyana', 'Jax', 'Morgana'], ['Lillia', 'Jarvan IV', 'Vi', 'Kayn', 'Brand', 'Wukong', 'Evelynn', 'Rengar', 'Gwen', 'Rammus', 'Poppy']]",,,,"[""Youmuu's Ghostblade"", 'The Collector', ""Lord Dominik's Regards""]",
gwen,"[['Fiora', 'Vladimir', 'Urgot', 'Gnar', 'Poppy', 'Warwick', 'Akali', 'Olaf', 'Quinn', 'Udyr', 'Vayne', 'Heimerdinger', 'Zed'], ['Camille', 'Darius', 'Mordekaiser', ""K'Sante"", 'Dr. Mundo', 'Illaoi', 'Yone', 'Sion', 'Yorick', 'Tryndamere', ""Cho'Gath"", 'Gangplank', 'Smolder', 'Irelia', 'Aurora', 'Rumble', 'Kennen', 'Kayle', 'Ryze', 'Varus', 'Sylas', 'Cassiopeia'], ['Nasus', 'Garen', 'Renekton', 'Sett', 'Jax', 'Malphite', 'Tahm Kench', 'Shen', 'Gragas', 'Kled', 'Zac', 'Teemo']]",,,,,"['Riftmaker', ""Nashor's Tooth"", ""Rabadon's Deathcap""]",
hecarim,,"[['Udyr', 'Shyvana', 'Xin Zhao', 'Gwen', 'Ivern'], ['Kayn', 'Nidalee', 'Ekko', 'Zac', 'Rengar', 'Brand', 'Gragas', 'Karthus', 'Sylas', 'Talon', 'Zyra', 'Maokai', 'Poppy', 'Qiyana', 'Jax'], ['Lee Sin', 'Lillia', ""Kha'Zix"", 'Amumu', 'Graves', 'Jarvan IV', 'Diana', 'Nocturne', 'Shaco', 'Vi', 'Master Yi', 'Briar', 'Warwick', 'Sejuani', 'Fiddlesticks', ""Bel'Veth"", 'Evelynn', 'Zed', 'Skarner']]",,,,"['Eclipse', 'Black Cleaver', ""Zeke's Convergence""]",
heimerdinger,,,"[['Smolder', 'Yasuo', 'Hwei', 'Vladimir', 'Xerath', 'Malzahar'], ['Zed', 'Sylas', 'Yone', 'Katarina', 'Aurora', 'Syndra', 'Orianna', 'Aurelion Sol', 'Lux', 'Nasus', 'Akali', 'Galio'], ['Lissandra', 'LeBlanc']]",,,"['Blackfire Torch', ""Liandry's Torment"", ""Zhonya's Hourglass""]",
heimerdinger,"[['Aatrox', 'Nasus', 'Garen', 'Darius', 'Jayce', 'Sett', 'Ornn', 'Dr. Mundo', 'Jax', ""K'Sante"", 'Gnar', 'Gangplank', 'Kayle', 'Tryndamere', 'Yasuo', 'Akali', 'Tahm Kench'], ['Smolder', 'Mordekaiser', 'Camille', 'Volibear', 'Yone', 'Fiora', 'Riven', 'Malphite', 'Pantheon', 'Gwen', 'Vladimir', 'Teemo', 'Kennen', 'Gragas', 'Aurora', 'Wukong', 'Ryze', ""Cho'Gath""], ['Renekton', 'Yorick', 'Irelia', 'Olaf', 'Urgot']]",,,,,"['Blackfire Torch', ""Liandry's Torment"", ""Zhonya's Hourglass""]",
illaoi,"[['Mordekaiser', 'Gwen', 'Yorick', 'Tryndamere', 'Kayle', 'Vladimir', 'Gangplank', 'Kled', 'Vayne', 'Warwick', 'Poppy', 'Teemo', 'Singed', 'Udyr', 'Cassiopeia'], ['Nasus', 'Renekton', 'Darius', 'Jax', 'Fiora', 'Ornn', 'Riven', 'Yone', ""K'Sante"", 'Dr. Mundo', 'Gnar', 'Jayce', 'Urgot', 'Malphite', 'Irelia', 'Gragas', ""Cho'Gath"", 'Wukong', 'Pantheon', 'Yasuo', 'Akali', 'Trundle', 'Varus', 'Ryze', 'Sylas', 'Zed'], ['Aatrox', 'Garen', 'Sett', 'Volibear', 'Smolder', 'Tahm Kench', 'Shen', 'Kennen', 'Olaf', 'Rumble', 'Quinn', 'Heimerdinger']]",,,,,"['Iceborn Gauntlet', 'Black Cleaver', ""Sterak's Gage""]",
irelia,"[['Nasus', 'Renekton', 'Jax', 'Darius', 'Camille', 'Volibear', 'Mordekaiser', 'Fiora', 'Malphite', 'Vladimir', 'Illaoi', 'Gwen', 'Tryndamere', 'Gragas', ""Cho'Gath"", 'Wukong', 'Shen', 'Tahm Kench', 'Poppy', 'Quinn', 'Trundle', 'Kled', 'Olaf', 'Zed', 'Zac', 'Cassiopeia', 'Udyr'], ['Jayce', 'Smolder', 'Yone', 'Yorick', 'Aurora', 'Dr. Mundo', 'Akali', 'Rumble', 'Yasuo', 'Pantheon', 'Varus', 'Ryze', 'Vayne'], ['Aatrox', 'Riven', 'Gnar', 'Sion', 'Teemo', 'Heimerdinger']]",,,,,"['Blade of The Ruined King', 'Kraken Slayer', ""Wit's End""]",
irelia,,,"[['LeBlanc', 'Lissandra', 'Akali', 'Vladimir', 'Vex', 'Talon', 'Galio', 'Fizz', 'Garen', 'Qiyana', 'Cassiopeia', 'Ekko', 'Taliyah', 'Brand', 'Renekton', 'Gragas', 'Kennen', 'Pantheon'], ['Smolder', 'Ahri', 'Syndra', 'Lux', 'Malzahar', 'Nasus', 'Aurelion Sol', 'Azir', 'Veigar', 'Ziggs', 'Akshan', 'Corki', 'Lucian', 'Jayce', 'Varus', 'Tristana', ""Vel'Koz"", 'Zeri', 'Quinn', 'Rumble'], ['Zed', 'Yone', 'Yasuo', 'Orianna', 'Twisted Fate', 'Ryze', 'Xerath', 'Diana', 'Zoe', 'Naafiri', 'Kassadin', 'Malphite', 'Swain', 'Neeko', 'Kayle']]",,,"['Blade of The Ruined King', ""Wit's End"", 'Kraken Slayer']",
ivern,,"[['Nocturne', 'Shyvana', 'Zac', 'Volibear', 'Brand', 'Warwick', 'Gragas', 'Wukong', 'Rammus', 'Maokai', 'Zyra'], ['Jarvan IV', 'Hecarim', 'Diana', 'Kindred', 'Nidalee', 'Ekko', 'Fiddlesticks', ""Bel'Veth"", 'Karthus', 'Taliyah', 'Elise', 'Talon', 'Sylas', 'Skarner', 'Qiyana'], ['Lee Sin', 'Lillia', 'Viego', ""Kha'Zix"", 'Amumu', 'Graves', 'Kayn', 'Vi', 'Rengar', 'Nunu & Willump', 'Briar', 'Xin Zhao', 'Evelynn', 'Gwen', 'Zed']]",,,,"['Moonstone Renewer', 'Redemption', 'Ardent Censer']",
janna,,,,,"[['Xerath', 'Amumu'], ['Leona', 'Nautilus', 'Rell', 'Blitzcrank', 'Lux', 'Alistar', 'Yuumi', 'Morgana', 'Brand', 'Maokai', 'Pantheon', 'Renata Glasc', 'Neeko', 'Hwei', 'Camille', 'Ashe', 'LeBlanc', 'Shen', 'Zoe'], ['Nami', 'Thresh', 'Lulu', 'Milio', 'Karma', 'Pyke', 'Seraphine', 'Bard', 'Soraka', 'Rakan', 'Sona', 'Zilean', 'Zyra', 'Poppy', ""Vel'Koz"", 'Swain', 'Tahm Kench', 'Taric', 'Zac', 'Fiddlesticks']]","['Echoes of Helia', 'Moonstone Renewer', 'Redemption']",
jarvaniv,,"[['Amumu', 'Kayn', 'Udyr', 'Warwick', 'Gwen', 'Ivern', 'Skarner', 'Jax'], ['Briar', 'Sejuani', 'Fiddlesticks', 'Evelynn', 'Karthus', 'Zed', 'Taliyah', 'Rammus', 'Maokai'], ['Lee Sin', 'Lillia', 'Hecarim', 'Nocturne', 'Vi', 'Diana', 'Nidalee', 'Ekko', 'Shyvana', 'Zac', 'Volibear', 'Xin Zhao', 'Rengar', 'Nunu & Willump', 'Wukong', 'Elise', 'Gragas', 'Sylas', 'Talon', ""Rek'Sai"", 'Poppy', 'Qiyana', 'Morgana']]",,,,"['Eclipse', 'Sundered Sky', 'Frozen Heart']",
jax,"[['Garen', 'Renekton', 'Tryndamere', 'Riven', 'Illaoi', 'Gangplank', 'Dr. Mundo', 'Vladimir', 'Kennen', 'Wukong', ""Cho'Gath"", 'Poppy', 'Urgot', 'Yasuo', 'Tahm Kench', 'Trundle', 'Quinn', 'Teemo', 'Zac', 'Singed', 'Udyr', 'Zed', 'Cassiopeia'], ['Volibear', 'Yone', 'Irelia', 'Smolder', 'Gnar', 'Kled', 'Akali', 'Olaf', 'Warwick', 'Kayle', 'Rumble', 'Ryze', 'Vayne', 'Heimerdinger'], ['Aatrox', 'Camille', 'Nasus', 'Mordekaiser', 'Gragas', 'Malphite', 'Jayce', ""K'Sante"", 'Gwen', 'Ornn', 'Pantheon', 'Aurora', 'Varus']]",,,,,"['Trinity Force', 'Sundered Sky', ""Sterak's Gage""]",
jayce,"[['Malphite', 'Nasus', 'Garen', 'Irelia', 'Fiora', 'Sett', 'Mordekaiser', 'Kennen', 'Riven', 'Ornn', 'Gangplank', 'Yorick', 'Dr. Mundo', 'Vladimir', 'Wukong', 'Illaoi', 'Sion', ""Cho'Gath"", 'Olaf', 'Tahm Kench', 'Quinn', 'Pantheon', 'Poppy', 'Ryze', 'Shen', 'Kled', 'Warwick'], ['Smolder', 'Aurora', 'Rumble', 'Akali', 'Teemo', 'Yasuo', 'Sylas', 'Varus', 'Vayne', 'Heimerdinger', 'Trundle'], ['Aatrox', 'Yone', 'Jax', 'Gnar', ""K'Sante"", 'Gwen', 'Singed', 'Udyr']]",,,,,"['Tear of the Goddess', 'Eclipse', 'Muramana', ""Serylda's Grudge""]",
jayce,,,"[['Sylas', 'Yasuo', 'Zed', 'Ahri', 'Syndra', 'Lissandra', 'Akali', 'Galio', 'Nasus', 'Vladimir', 'Ryze', 'Irelia', 'Zoe', 'Talon', 'Aurelion Sol', 'Azir', 'Malzahar', 'Diana', 'Veigar', 'Qiyana', 'Garen', 'Malphite'], ['Yone', 'Smolder', 'Viktor', 'Fizz', 'Kassadin', 'Naafiri', 'Lucian', 'Ekko', 'Akshan', 'Brand', 'Taliyah', 'Tristana', 'Varus', 'Zeri'], ['Katarina', 'LeBlanc', 'Hwei', 'Lux', 'Corki', 'Cassiopeia', 'Ziggs']]",,,"['Tear of the Goddess', 'Eclipse', 'Muramana', ""Serylda's Grudge""]",
jhin,,,,"[['Yasuo', 'Swain'], ['Caitlyn', 'Ezreal', 'Smolder', 'Varus', 'Aphelios', 'Samira', 'Vayne', 'Xayah', 'Tristana'], [""Kai'Sa"", 'Miss Fortune', 'Jinx', 'Lucian', 'Ashe', 'Zeri', 'Draven', 'Ziggs', 'Twitch', 'Sivir', ""Kog'Maw"", 'Nilah', 'Kalista', 'Seraphine', 'Brand']]",,"['Statikk Shiv', 'Rapid Firecannon', 'Infinity Edge']",
jinx,,,,"[['Twitch', 'Ziggs', 'Nilah', 'Brand', 'Swain'], ['Caitlyn', 'Ashe', 'Zeri', 'Aphelios', 'Samira', 'Sivir', 'Kalista', 'Tristana'], [""Kai'Sa"", 'Ezreal', 'Smolder', 'Varus', 'Draven', 'Xayah', 'Yasuo']]",,"['The Collector', 'Opportunity', 'Mortal Reminder']",
ksante,"[['Aatrox', 'Nasus', 'Darius', 'Camille', 'Fiora', 'Gwen', 'Riven', 'Gnar', 'Illaoi', 'Ornn', 'Wukong', 'Urgot', 'Shen', 'Olaf', 'Tryndamere', 'Yorick', 'Aurora', 'Poppy', 'Kennen', 'Vladimir', 'Vayne', 'Kled', 'Kayle', ""Cho'Gath"", 'Tahm Kench', 'Zac', 'Singed', 'Zed', 'Quinn', 'Cassiopeia'], ['Gragas', 'Varus', 'Sylas', 'Heimerdinger'], ['Sett', 'Jax', 'Smolder', 'Gangplank', 'Malphite', 'Dr. Mundo', 'Irelia', 'Pantheon', 'Sion', 'Akali', 'Warwick', 'Teemo', 'Yasuo']]",,,,,"['Iceborn Gauntlet', 'Sunfire Aegis', ""Jak'Sho, The Protean""]",
kaisa,,,,"[['Miss Fortune', ""Kog'Maw"", 'Nilah', 'Seraphine', 'Swain'], ['Ezreal', 'Tristana', 'Yasuo'], ['Jhin', 'Smolder', 'Caitlyn', 'Varus', 'Zeri', 'Ashe', 'Ziggs', 'Vayne', 'Aphelios', 'Twitch', 'Kalista']]",,"['Statikk Shiv', ""Guinsoo's Rageblade"", ""Nashor's Tooth""]",
kalista,,,,"[['Smolder', 'Miss Fortune', 'Jinx', 'Ashe', 'Lucian', 'Draven', 'Samira', 'Twitch', 'Vayne', 'Nilah', 'Seraphine'], ['Xayah', 'Ziggs', ""Kog'Maw""], ['Ezreal', 'Varus', 'Caitlyn', 'Zeri', 'Sivir']]",,"['Blade of The Ruined King', ""Guinsoo's Rageblade"", 'Terminus']",
karma,,,,,"[['Senna', 'Nami', 'Blitzcrank', 'Soraka', 'Bard', 'Neeko', 'Pantheon', 'Taric', 'Tahm Kench', 'Shen'], ['Lux', 'Morgana', 'Zilean', 'Brand', 'Maokai', 'Swain', 'Hwei', 'Renata Glasc', 'Ashe', 'LeBlanc', 'Zac', 'Fiddlesticks'], ['Thresh', 'Nautilus', 'Milio', 'Xerath', 'Braum', 'Rell', 'Janna', 'Alistar', 'Zyra', ""Vel'Koz"", 'Zoe']]","['Malignance', 'Imperial Mandate', 'Morellonomicon']",
karma,,,"[['Yasuo', 'Ahri', 'Syndra', 'Sylas', 'Yone', 'Twisted Fate', 'Akali'], ['Katarina', 'Zed', 'Hwei', 'Smolder', 'LeBlanc', 'Aurora', 'Orianna', 'Viktor'], ['Vladimir', 'Lissandra']]",,,"['Malignance', 'Horizon Focus', 'Cosmic Drive']",
karthus,,"[[""Kha'Zix"", 'Graves', 'Nidalee', 'Amumu', 'Nocturne', 'Hecarim', 'Jarvan IV', 'Kayn', 'Vi', 'Diana', 'Shyvana', 'Ekko', 'Udyr', 'Master Yi', ""Bel'Veth"", 'Brand', 'Elise', 'Rengar', 'Taliyah', 'Talon', 'Evelynn', 'Gragas', 'Ivern', 'Skarner', 'Rammus', ""Rek'Sai"", 'Maokai'], ['Zac', 'Sylas', 'Zed', 'Wukong', 'Gwen', 'Zyra', 'Qiyana', 'Poppy', 'Morgana'], ['Lee Sin', 'Lillia', 'Kindred', 'Shaco', 'Briar', 'Sejuani', 'Fiddlesticks', 'Warwick', 'Volibear']]",,,,"['Blackfire Torch', ""Liandry's Torment"", ""Rabadon's Deathcap""]",
kassadin,,,"[['Sylas', 'Lissandra', 'Aurora', 'Akali', 'Zed', 'Lux', 'Ryze', 'Vex', 'Diana', 'Galio', 'Talon', 'Ekko', 'Anivia', 'Zoe', 'Naafiri', 'Garen', 'Pantheon', 'Jayce', 'Akshan', 'Varus', 'Renekton', 'Kennen', 'Quinn', 'Zeri'], ['Katarina', 'Yasuo', 'Smolder', 'Orianna', 'Malzahar', 'Xerath', 'Azir', 'Tristana', 'Brand', ""Vel'Koz"", 'Ziggs'], ['LeBlanc', 'Hwei', 'Ahri', 'Syndra', 'Veigar', 'Fizz', 'Aurelion Sol', 'Viktor', 'Irelia', 'Nasus', 'Corki', 'Qiyana', 'Cassiopeia', 'Annie', 'Swain']]",,,"['Tear of the Goddess', 'Rod of Ages', ""Seraph's Embrace"", 'Malignance']",
katarina,,,"[['Yasuo', 'Sylas', 'Lissandra', 'Vladimir', 'Galio', 'Garen', 'Fizz', 'Talon', 'Qiyana', 'Kassadin', 'Viktor', 'Ekko', 'Naafiri', 'Cassiopeia', 'Gragas', 'Malphite', 'Quinn', 'Kayle', 'Swain', 'Neeko'], ['Smolder', 'Malzahar', 'Nasus', 'Aurelion Sol', 'Corki', 'Ziggs', 'Lucian', 'Taliyah', 'Tristana', 'Varus', 'Kennen', 'Zeri', 'Nunu & Willump'], ['Zed', 'Yone', 'LeBlanc', 'Ahri', 'Hwei', 'Akali', 'Syndra', 'Aurora', 'Lux', 'Orianna', 'Twisted Fate', 'Veigar', 'Ryze', 'Irelia', 'Azir', 'Zoe', 'Annie', ""Vel'Koz""]]",,,"['Lich Bane', 'Shadowflame', ""Zhonya's Hourglass""]",
kayle,"[['Nasus', 'Jax', 'Ornn', 'Yorick', 'Gwen', 'Tahm Kench', ""Cho'Gath"", 'Gragas', 'Kennen', 'Aurora', 'Yasuo', 'Sylas', 'Vayne', 'Zac', 'Trundle', 'Varus'], ['Aatrox', 'Illaoi', 'Renekton', ""K'Sante"", 'Malphite', 'Smolder', 'Dr. Mundo', 'Gangplank', 'Singed', 'Gnar', 'Shen', 'Pantheon', 'Akali', 'Olaf', 'Quinn', 'Heimerdinger'], ['Garen', 'Darius', 'Sett', 'Volibear', 'Fiora', 'Irelia', 'Vladimir', 'Jayce', 'Urgot', 'Sion', 'Wukong', 'Teemo', 'Rumble', 'Kled', 'Poppy', 'Ryze', 'Udyr']]",,,,,"[""Nashor's Tooth"", ""Rabadon's Deathcap"", 'Lich Bane']",
kayle,,,"[['Zed', 'Sylas', 'Syndra', 'Ahri', 'Aurora', 'Hwei', 'Ryze', 'Orianna', 'Qiyana', 'Vex', 'Veigar', 'Fizz', 'Aurelion Sol'], ['Smolder', 'Katarina', 'Yone', 'LeBlanc', 'Lux', 'Nasus', 'Talon', 'Azir', 'Twisted Fate'], ['Vladimir', 'Akali', 'Malzahar', 'Garen']]",,,"[""Nashor's Tooth"", ""Rabadon's Deathcap"", 'Lich Bane']",
kayn,,"[['Viego', 'Hecarim', 'Master Yi', 'Warwick', 'Fiddlesticks', 'Evelynn', ""Bel'Veth"", 'Rammus', 'Morgana', 'Jax'], ['Amumu', 'Ekko', 'Brand', 'Gragas', 'Karthus', 'Sylas', 'Skarner', 'Maokai'], ['Lee Sin', 'Lillia', 'Jarvan IV', 'Udyr', 'Nocturne', 'Diana', 'Shaco', 'Kindred', 'Nidalee', 'Briar', 'Zac', 'Volibear', 'Nunu & Willump', 'Sejuani', 'Wukong', 'Elise', ""Rek'Sai"", 'Talon', 'Taliyah', 'Poppy', 'Zyra', 'Qiyana']]",,,,"['Eclipse', 'Black Cleaver', 'Spear of Shojin']",
kennen,"[['Nasus', 'Mordekaiser', 'Dr. Mundo', 'Rumble', 'Gwen', 'Gragas', 'Olaf', 'Sion', 'Wukong', 'Tryndamere', 'Shen', 'Pantheon', 'Sylas', 'Yasuo', 'Zac', 'Cassiopeia', 'Singed', 'Zed', 'Heimerdinger', 'Udyr'], ['Aatrox', 'Darius', 'Garen', 'Jayce', 'Jax', 'Yone', 'Smolder', ""K'Sante"", 'Yorick', 'Teemo', 'Gangplank', 'Akali', 'Poppy', 'Kayle', 'Varus', 'Trundle'], ['Renekton', 'Malphite', 'Sett', 'Gnar', 'Irelia', 'Riven', 'Volibear', 'Ornn', 'Aurora', 'Illaoi', 'Quinn', ""Cho'Gath"", 'Kled', 'Vayne']]",,,,,"['Hextech Rocketbelt', 'Shadowflame', ""Zhonya's Hourglass""]",
khazix,,"[['Udyr', 'Fiddlesticks', 'Gwen', 'Rammus', 'Skarner', 'Qiyana'], ['Lillia', 'Viego', 'Graves', 'Master Yi', 'Kindred', 'Sejuani', 'Brand', 'Karthus', 'Sylas', 'Taliyah', 'Poppy', 'Zyra', 'Maokai', 'Morgana', 'Jax'], ['Lee Sin', 'Kayn', 'Jarvan IV', 'Nocturne', 'Diana', 'Vi', 'Shaco', 'Ekko', 'Shyvana', 'Briar', 'Xin Zhao', 'Volibear', 'Warwick', 'Evelynn', 'Wukong', 'Zac', 'Nunu & Willump', 'Gragas', ""Bel'Veth"", 'Zed', 'Talon', ""Rek'Sai""]]",,,,"[""Youmuu's Ghostblade"", 'Opportunity', 'Edge of Night']",
